question_order,question_code,option_order,stored_code,source_column_code,option_label_ro,option_label_en,selection_storage,comment_storage,response_structure
13,G01Q13,2,AO02,G01Q13,"România este moderat competitivă și, implicit, necesită mai multe investiții private în acest domeniu",Romania is moderately competitive and therefore requires greater private investment in this field,AO02 = selected category; blank = missing,G01Q13[comment],single choice
13,G01Q13,3,AO03,G01Q13,România este în urmă în adoptarea AI,Romania is lagging in AI adoption,AO03 = selected category; blank = missing,G01Q13[comment],single choice
13,G01Q13,4,AO04,G01Q13,Nu sunt sigur,Not sure,AO04 = selected category; blank = missing,G01Q13[comment],single choice
14,G07Q14,1,AO01,G07Q14,Concentrarea investițiilor pentru cercetare și dezvoltare AI,Concentrate investment on AI research and development,AO01 = selected category; blank = missing,G07Q14[comment],single choice
14,G07Q14,2,AO02,G07Q14,Concentrarea eforturilor pentru a deveni un centru pentru reglementarea și etica AI,Concentrate efforts on becoming a centre for AI regulation and ethics,AO02 = selected category; blank = missing,G07Q14[comment],single choice
14,G07Q14,3,AO03,G07Q14,"Investiții concentrate în industrii bazate ceva mai puțin pe soluții AI (ex. producție, logistică, agricultură)","Concentrate investment in industries that rely somewhat less on AI solutions, for example manufacturing, logistics and agriculture",AO03 = selected category; blank = missing,G07Q14[comment],single choice
14,G07Q14,4,AO04,G07Q14,Altul (vă rugăm să specificați),Other (please specify),AO04 = selected category; blank = missing,G07Q14[comment],single choice
15,G08Q15,1,AO01,G08Q15,Nu suntem foarte îngrijorați – sustenabilitatea nu este o prioritate în acest moment (serviciile AI sunt externalizate),Not very concerned - sustainability is not currently a priority because AI services are outsourced,AO01 = selected category; blank = missing,G08Q15[comment],single choice
15,G08Q15,2,AO02,G08Q15,Moderat îngrijorați – evaluăm opțiuni,Moderately concerned - we are evaluating options,AO02 = selected category; blank = missing,G08Q15[comment],single choice
15,G08Q15,3,AO03,G08Q15,Foarte îngrijorați – avem inițiative de sustenabilitate,Very concerned - we have sustainability initiatives,AO03 = selected category; blank = missing,G08Q15[comment],single choice
15,G08Q15,4,AO04,G08Q15,Nu sunt sigur,Not sure,AO04 = selected category; blank = missing,G08Q15[comment],single choice
16,G01Q16,1,AO01,G01Q16,Foarte important – sprijinul guvernamental este esențial,Very important - government support is essential,AO01 = selected category; blank = missing,G01Q16[comment],single choice
16,G01Q16,2,AO02,G01Q16,"Moderat important – este util, dar nu este factorul decisiv","Moderately important - useful, but not decisive",AO02 = selected category; blank = missing,G01Q16[comment],single choice
16,G01Q16,3,AO03,G01Q16,Nu este important – sectorul privat ar trebui să conducă/impună modelul de adoptare AI,Not important - the private sector should lead the AI adoption model,AO03 = selected category; blank = missing,G01Q16[comment],single choice
16,G01Q16,4,AO04,G01Q16,Nu sunt sigur,Not sure,AO04 = selected category; blank = missing,G01Q16[comment],single choice
17,G01Q17,1,AO01,G01Q17,Transformare majoră – ne așteptăm la o revizuire completă a modelului de afaceri,Major transformation - we expect a comprehensive revision of the business model,AO01 = selected category; blank = missing,G01Q17[comment],single choice
17,G01Q17,2,AO02,G01Q17,"Schimbări moderate – modelul de afaceri se va evolua, dar elementele de bază vor rămâne aceleași","Moderate change - the business model will evolve, but its core elements will remain the same",AO02 = selected category; blank = missing,G01Q17[comment],single choice
17,G01Q17,3,AO03,G01Q17,Ajustări minore – ne așteptăm doar la modificări ușoare (practic subtile/neglijabile),Minor adjustments - we expect only limited changes,AO03 = selected category; blank = missing,G01Q17[comment],single choice
19,G01Q19,1,AO01,G01Q19,"Folosim metrici cantitative (ex.: economii de costuri, creșteri de venit)","Use quantitative metrics, for example cost savings or revenue growth",AO01 = selected category; blank = missing,G01Q19[comment],single choice
19,G01Q19,2,AO02,G01Q19,"Folosim evaluări calitative (ex.: satisfacția clienților, îmbunătățirea proceselor)","Use qualitative assessments, for example customer satisfaction or process improvement",AO02 = selected category; blank = missing,G01Q19[comment],single choice
19,G01Q19,3,AO03,G01Q19,Combinăm metricile cantitative și calitative,Combine quantitative and qualitative metrics,AO03 = selected category; blank = missing,G01Q19[comment],single choice
19,G01Q19,4,AO04,G01Q19,Nu am definit încă o strategie clară de măsurare a ROI,No clear return-on-investment measurement strategy has yet been defined,AO04 = selected category; blank = missing,G01Q19[comment],single choice
