order,section_order,section_roman,section_title_ro,section_title_en,question_code,stem_ro,stem_en,context_ro,context_en,opportunity_ro,opportunity_en,challenge_ro,challenge_en,disadvantage_ro,disadvantage_en,instruction_ro,instruction_en,response_format,response_format_ro,measurement_level,comments_structure,comments_structure_ro,answer_columns,comment_or_open_text_columns,complete_primary_response_n,complete_comment_or_open_text_n,mandatory_status,current_article_use,measurement_or_reporting_limit,reconstruction_note,reconstruction_note_ro,reconstruction_status
11,6,VI,REGLEMENTĂRI ȘI CONSIDERAȚII ETICE DESPRE AI,REGULATION AND ETHICAL CONSIDERATIONS CONCERNING AI,G06Q11,Credeți că AI ar trebui să fie mai bine reglementată pentru a preveni riscurile economice și etice?,Should AI be more strongly regulated to prevent economic and ethical risks?,"Există dezbateri privind nivelul optim de reglementare AI. Reglementările stricte pot fi preponderent etice, pot preveni deciziile părtinitoare și chiar pot proteja locurile de muncă. Dar dacă aceste reglementări devin excesive pot împiedica inovația și competitivitatea.","There is debate about the optimal level of AI regulation. Stricter regulation may prioritise ethical considerations, prevent biased decisions and even protect jobs. If regulation becomes excessive, however, it may impede innovation and competitiveness.",Reglementările stricte pot spori încrederea publică și preveni abuzurile.,Stricter regulation may increase public trust and prevent abuse.,Suprareglementarea poate încetini inovația și reduce avantajul competitiv.,Overregulation may slow innovation and reduce competitive advantage.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,categorical regulatory-preference item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,202,not recoverable from the available exports,Reported descriptively,"Preference, not policy effectiveness","The item records a regulatory preference, not evidence of policy effectiveness.","Itemul înregistrează o preferință de reglementare, nu dovezi privind eficacitatea politicilor publice.",verified reconstruction from paired exports
12,6,VI,REGLEMENTĂRI ȘI CONSIDERAȚII ETICE DESPRE AI,REGULATION AND ETHICAL CONSIDERATIONS CONCERNING AI,G01Q12,Care este cea mai mare îngrijorare legată de etică în privința utilizării AI în afaceri?,What is your greatest ethical concern about the use of AI in business?,"AI poate optimiza operațiunile, dar ridică probleme etice, cum ar fi favorizarea nejustificată a unor grupuri de clienți/furnizori, încălcarea confidențialității și pierderea locurilor de muncă. Identificarea principalelor preocupări etice ajută la orientarea discuțiilor de politică și a strategiilor corporative pentru o utilizare responsabilă și echitabilă a soluțiilor AI.","AI may optimise operations, but it also raises ethical concerns including unjustified favouring of particular customer or supplier groups, infringements of privacy and job losses. Identifying the principal ethical concerns may inform policy discussion and corporate strategies for responsible and equitable use of AI solutions.",Identificarea problemelor etice stimulează dezvoltarea de măsuri de protecție și bune practici.,Identifying ethical concerns encourages the development of safeguards and good practice.,Riscurile etice pot fi complexe și dificil de gestionat în totalitate.,Ethical risks may be complex and difficult to manage comprehensively.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,nominal categorical item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,200,not recoverable from the available exports,Not reported,Single item,This is a single item and is not a validated ethics scale.,Acesta este un singur item și nu constituie o scală validată a preocupărilor etice.,verified reconstruction from paired exports
13,7,VII,AI ÎN CONTEXTUL COMPETITIVITĂȚII GLOBALE,AI IN THE CONTEXT OF GLOBAL COMPETITIVENESS,G01Q13,Cât de competitivă credeți că este România în adoptarea AI comparativ cu alte țări europene?,How competitive do you consider Romania to be in AI adoption compared with other European countries?,"Această întrebare evaluează poziția României în peisajul AI european. România are un sector IT puternic, însă nivelurile de adoptare AI pot varia. Compararea cu țări precum Germania sau Franța poate ajuta la formularea unei strategii naționale și la identificarea domeniilor de îmbunătățire.","This question asks about Romania’s position in the European AI landscape. Romania has a strong IT sector, although levels of AI adoption may vary. Comparison with countries such as Germany or France may help inform a national strategy and identify areas for improvement.",Recunoașterea decalajelor competitive poate stimula decizii de politică și investiții țintite.,Recognition of competitive gaps may encourage policy decisions and targeted investment.,Percepțiile pot fi subiective și pot varia în funcție de informațiile disponibile.,Perceptions may be subjective and may vary with the information available to respondents.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,ordinal perception item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,202,not recoverable from the available exports,Not reported,"Perception, not objective national performance","The item captures perception, not objective national performance.","Itemul surprinde o percepție, nu performanța națională măsurată obiectiv.",verified reconstruction from paired exports
14,7,VII,AI ÎN CONTEXTUL COMPETITIVITĂȚII GLOBALE,AI IN THE CONTEXT OF GLOBAL COMPETITIVENESS,G07Q14,Cum ar trebui să se poziționeze România pe piața globală AI?,How should Romania position itself in the global AI market?,"Țările adoptă strategii diferite în domeniul AI: unele se concentrează pe cercetare și dezvoltare, altele pe reglementări sau altele pe promovarea industriilor bazate pe AI. Această întrebare urmărește să capteze opinia dvs. despre calea strategică optimă pentru ca România să devină competitivă pe plan global.","Countries pursue different AI strategies. Some focus on research and development, others on regulation and others on promoting AI-based industries. This question seeks your view on the most appropriate strategic path for Romania to become globally competitive.",O strategie clară poate atrage investiții și stimula un ecosistem de inovație.,A clear strategy may attract investment and stimulate an innovation ecosystem.,O abordare prea concentrată poate limita diversificarea oportunităților.,An overly narrow approach may restrict the diversity of opportunities.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,nominal strategic-preference item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,202,not recoverable from the available exports,Not reported,Normative preference,The item records a normative strategic preference.,Itemul înregistrează o preferință strategică normativă.,verified reconstruction from paired exports
15,8,VIII,AI: SUBIECTE EMERGENTE ȘI PERSPECTIVE STRATEGICE,AI: EMERGING TOPICS AND STRATEGIC PERSPECTIVES,G08Q15,Cum evaluați impactul tehnologiilor AI adoptate de compania dvs (sau în curs de adoptare) asupra mediului?,How do you assess the environmental impact of AI technologies adopted by your company or currently being adopted?,"Adoptarea AI transformă operațiunile, însă are și consecințe asupra mediului. Consumul de energie, deșeurile electronice și emisiile de carbon asociate centrelor de date și hardware-ului pot fi semnificative. Ne interesează să aflăm cum iau în calcul companiile aspectele de sustenabilitate în strategia lor AI.","AI adoption transforms operations, but it also has environmental consequences. Energy consumption, electronic waste and carbon emissions associated with data centres and hardware may be substantial. The question asks how companies consider sustainability in their AI strategy.",,,Punerea accentului pe sustenabilitate poate conduce la practici AI ecologice și la reducerea riscurilor pe termen lung.,Emphasising sustainability may encourage environmentally responsible AI practices and reduce long-term risks.,"Un accent excesiv pe impactul asupra mediului, poate diminua focusul asupra altor beneficii operaționale imediate.",Excessive emphasis on environmental impact may divert attention from other immediate operational benefits.,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,ordinal concern item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,202,not recoverable from the available exports,Not reported,Perceived rather than measured impact,"The source labels a potentially beneficial sustainability statement as “Challenges”, creating a label-content polarity inconsistency.","Sursa etichetează drept „Provocări” o afirmație cu posibilă semnificație pozitivă pentru sustenabilitate, ceea ce produce o inconsecvență între etichetă și polaritatea conținutului.",verified reconstruction from paired exports
16,8,VIII,AI: SUBIECTE EMERGENTE ȘI PERSPECTIVE STRATEGICE,AI: EMERGING TOPICS AND STRATEGIC PERSPECTIVES,G01Q16,Ce rol credeți că ar trebui să aibă stimulentele și sprijinul guvernamental în accelerarea adoptării AI în domeniul dvs.?,What role should government incentives and support play in accelerating AI adoption in your field?,"Politicile guvernamentale (stimulente fiscale, subvenții, “sandbox-uri reglementare”) pot influența semnificativ viteza și eficiența adoptării AI de către companii. Această întrebare urmărește să clarifice cât de important consideră liderii de afaceri sprijinul public în procesul de integrare a AI.","Government policies, including tax incentives, subsidies and regulatory sandboxes, may substantially influence the speed and effectiveness of business AI adoption. This question asks how important business leaders consider public support to be in the AI integration process.","Aprecierea sprijinului guvernamental poate stimula politici publice favorabile, facilitând inovarea.",Recognition of the value of government support may encourage favourable public policy and facilitate innovation.,Dependența excesivă de sprijinul public poate crea așteptări nerealiste și poate încetini inovația în sectorul privat.,Excessive dependence on public support may create unrealistic expectations and slow private-sector innovation.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,ordinal importance item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,203,not recoverable from the available exports,Reported descriptively,Does not identify specific policy instruments,The item does not identify a specific policy instrument or estimate policy effects.,Itemul nu identifică un instrument de politică publică precis și nu estimează efectele politicilor.,verified reconstruction from paired exports
17,8,VIII,AI: SUBIECTE EMERGENTE ȘI PERSPECTIVE STRATEGICE,AI: EMERGING TOPICS AND STRATEGIC PERSPECTIVES,G01Q17,Cum credeți că se va schimba modelul de afaceri al companiei dvs. pe măsură ce integrarea AI se va accentua în următorii cinci ani?,How do you expect your company’s business model to change as AI integration deepens over the next five years?,"AI are potențialul de a transforma radical modelele de afaceri, trecând de la abordări tradiționale bazate pe produse sau servicii la modele bazate pe date și platforme. Dorim să aflăm ce așteptări aveți privind schimbările în crearea plus-valorii, în fluxurile de venituri și în structura operațională.","AI may radically transform business models by shifting traditional product- or service-based approaches towards data- and platform-based models. The question asks about expected changes in value creation, revenue streams and operational structure.",Planificarea schimbărilor modelului de afaceri poate asigura un avantaj competitiv pe termen lung.,Planning for business-model change may secure a long-term competitive advantage.,"Schimbările radicale pot implica riscuri mari și investiții semnificative, provocând perturbări majore pe termen scurt.",Radical change may involve substantial risk and investment and may cause major short-term disruption.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,ordinal expected-change item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,203,not recoverable from the available exports,Not reported,"Expectation, not observed restructuring",The response is an expectation and does not demonstrate observed organisational restructuring.,Răspunsul exprimă o așteptare și nu demonstrează existența unei restructurări organizaționale observate.,verified reconstruction from paired exports
18,8,VIII,AI: SUBIECTE EMERGENTE ȘI PERSPECTIVE STRATEGICE,AI: EMERGING TOPICS AND STRATEGIC PERSPECTIVES,G08Q18,Care noi aplicații sau inovații AI credeți că vor apărea în domeniul dvs. în următorii cinci ani?,What new AI applications or innovations do you expect to emerge in your field during the next five years?,"Peisajul AI evoluează rapid, iar noi aplicații apar continuu. Dorim să aflăm ce tendințe sau inovații considerați că vor fi cele mai promițătoare sau chiar disruptive pentru domeniul dvs.",The AI landscape is evolving rapidly and new applications continue to appear. This question asks which trends or innovations respondents consider most promising or potentially disruptive in their field.,Identificarea tendințelor emergente poate ajuta la pregătirea pentru schimbările de pe piața globală și la gestionarea provocărilor competitive.,Identifying emerging trends may help organisations prepare for changes in global markets and manage competitive challenges.,"Previziunile sunt, prin natura lor, incerte și pot să nu reflecte evoluțiile reale.",Forecasts are inherently uncertain and may not reflect subsequent developments.,,,Răspuns deschis:,Open response.,open text,răspuns deschis,unstructured open text,the primary response is unstructured text,răspunsul principal este text nestructurat,1,1,209,209,not recoverable from the available exports,Excluded,Free text; disclosure risk and no qualitative protocol,"Open text requires manual disclosure review, language identification, translation where needed and semantic coding before analytical use or release.","Textul deschis necesită verificare manuală a riscului de divulgare, identificarea limbii, traducere atunci când este necesară și codificare semantică înaintea utilizării analitice sau a publicării.",verified reconstruction from paired exports
19,8,VIII,AI: SUBIECTE EMERGENTE ȘI PERSPECTIVE STRATEGICE,AI: EMERGING TOPICS AND STRATEGIC PERSPECTIVES,G01Q19,Cum intenționați să măsurați rentabilitatea investiției (ROI) pentru proiectele dvs. legate de AI?,How do you intend to measure return on investment for your AI-related projects?,"Măsurarea ROI pentru inițiativele AI poate fi dificilă din cauza beneficiilor intangibile, cum ar fi creșterea eficienței, îmbunătățirea luării deciziilor și inovația. Abordarea dvs. privind măsurarea ROI ne va ajuta să înțelegem cum evaluează companiile valoarea AI și impactul asupra performanței afacerii.","Measuring return on investment for AI initiatives may be difficult because some benefits are intangible, including efficiency gains, improved decision-making and innovation. The question asks how companies assess the value of AI and its effect on business performance.",Un cadru clar pentru măsurarea ROI poate susține deciziile strategice și poate justifica investițiile suplimentare în AI.,A clear framework for measuring return on investment may support strategic decisions and justify further AI investment.,Elaborarea unor metrici robuste pentru ROI în AI poate fi dificilă din cauza beneficiilor intangibile și a orizontului pe termen lung.,Developing robust return-on-investment metrics for AI may be difficult because of intangible benefits and long time horizons.,,,Se pot alege mai multe răspunsuri:,"The source wording states that multiple responses may be selected, but the verified export stores one categorical response and one comment.",single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,nominal categorical approach item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,203,not recoverable from the available exports,Not reported,Export structure does not support a multi-response interpretation,"The wording states that multiple responses may be selected, but the export stores one coded response plus one comment. Processing must therefore remain single-choice unless original platform evidence proves otherwise.","Formularea afirmă că pot fi selectate mai multe răspunsuri, dar exportul stochează un singur răspuns codificat și un singur comentariu. Prelucrarea trebuie să rămână de tip răspuns unic dacă definiția originală a platformei nu demonstrează contrariul.",verified reconstruction from paired exports
20,9,IX,CONSIDERENTE FINALE,FINAL CONSIDERATIONS,G01Q20,Comentarii finale și/sau sugestii,Final comments and/or suggestions,"Vă rugăm să oferiți orice comentarii, sugestii sau observații suplimentare referitoare la impactul AI asupra afacerii dvs. sau a pieței din România. Feedback-ul dvs. este esențial pentru o înțelegere cuprinzătoare a evoluției peisajului AI.","Please provide any additional comments, suggestions or observations concerning the effect of AI on your business or on the Romanian market. This feedback is intended to support a fuller understanding of the changing AI landscape.",,,,,,,Răspuns deschis:,Open response.,open text,răspuns deschis,unstructured open text,the primary response is unstructured text,răspunsul principal este text nestructurat,1,1,189,189,not recoverable from the available exports,Excluded,Free text; disclosure risk and no qualitative protocol,"Open text requires manual disclosure review, language identification, translation where needed and semantic coding before analytical use or release.","Textul deschis necesită verificare manuală a riscului de divulgare, identificarea limbii, traducere atunci când este necesară și codificare semantică înaintea utilizării analitice sau a publicării.",verified reconstruction from paired exports
