source_column_number,source_code,proposed_clean_name,base_question_code,question_order,section_order,section_title_en,component,option_code,option_label_ro,option_label_en,source_header_ro,response_format,measurement_level,storage_type,coded_value_semantics,missing_value_semantics,nonempty_all_attempts,nonempty_complete_responses,distinct_nonempty_values,current_article_use,measurement_or_reporting_limit,preliminary_release_class
20,G01Q02[SQ006],sector_transport_logistics,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ006,Transport & Logistică,Transport and logistics,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Transport & Logistică]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
21,G01Q02[SQ006comment],sector_transport_logistics_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Transport & Logistică][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,20,15,18,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
22,G01Q02[SQ007],sector_agriculture,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ007,Agricultură,Agriculture,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Agricultură]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
23,G01Q02[SQ007comment],sector_agriculture_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Agricultură][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,13,9,11,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
24,G01Q02[SQ008],sector_energy,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ008,Energie,Energy,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Energie]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
25,G01Q02[SQ008comment],sector_energy_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Energie][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,11,7,10,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
26,G01Q02[SQ009],sector_other,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ009,Altul (vă rugăm să specificați),Other (please specify),"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Altul (vă rugăm să specificați)]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
27,G01Q02[SQ009comment],sector_other_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Altul (vă rugăm să specificați)][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,63,49,61,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
28,G01Q03[SQ001],respondent_role_ceo_owner,G01Q03,3,1,COMPANY PROFILE,multiple-response option flag,SQ001,CEO / Proprietar de afacere,Chief executive or business owner,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [CEO / Proprietar de afacere]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",270,212,2,Not used in the reported analysis,Informant position and organisation uniqueness not verified,public instrument documentation; no respondent values
29,G01Q03[SQ001comment],respondent_role_ceo_owner_comment,G01Q03,3,1,COMPANY PROFILE,free-text or comment field,,,,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [CEO / Proprietar de afacere][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,43,35,29,Not used in the reported analysis,Informant position and organisation uniqueness not verified,"manual disclosure review, redaction, language identification and translation required"
30,G01Q03[SQ002],respondent_role_senior_manager_director,G01Q03,3,1,COMPANY PROFILE,multiple-response option flag,SQ002,Manager Senior / Director,Senior manager or director,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [Manager Senior / Director]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",270,212,2,Not used in the reported analysis,Informant position and organisation uniqueness not verified,public instrument documentation; no respondent values
31,G01Q03[SQ002comment],respondent_role_senior_manager_director_comment,G01Q03,3,1,COMPANY PROFILE,free-text or comment field,,,,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [Manager Senior / Director][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,116,89,81,Not used in the reported analysis,Informant position and organisation uniqueness not verified,"manual disclosure review, redaction, language identification and translation required"
32,G01Q03[SQ003],respondent_role_it_ai_specialist,G01Q03,3,1,COMPANY PROFILE,multiple-response option flag,SQ003,Specialist IT / AI,IT or AI specialist,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [Specialist IT / AI]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",270,212,2,Not used in the reported analysis,Informant position and organisation uniqueness not verified,public instrument documentation; no respondent values
33,G01Q03[SQ003comment],respondent_role_it_ai_specialist_comment,G01Q03,3,1,COMPANY PROFILE,free-text or comment field,,,,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [Specialist IT / AI][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,32,29,30,Not used in the reported analysis,Informant position and organisation uniqueness not verified,"manual disclosure review, redaction, language identification and translation required"
34,G01Q03[SQ004],respondent_role_hr_workforce_development,G01Q03,3,1,COMPANY PROFILE,multiple-response option flag,SQ004,HR / Dezvoltare Resurse Umane,Human resources or workforce development,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [HR / Dezvoltare Resurse Umane]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",270,212,2,Not used in the reported analysis,Informant position and organisation uniqueness not verified,public instrument documentation; no respondent values
35,G01Q03[SQ004comment],respondent_role_hr_workforce_development_comment,G01Q03,3,1,COMPANY PROFILE,free-text or comment field,,,,"Care este rolul dvs. în companie? Context: Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite. Oportunități: Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI. Provocări: Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice. Se pot alege mai multe răspunsuri: [HR / Dezvoltare Resurse Umane][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,16,10,14,Not used in the reported analysis,Informant position and organisation uniqueness not verified,"manual disclosure review, redaction, language identification and translation required"
