variable_name,source_code,question_or_derivation,cleaned_label_en,response_type,coding,missing_completed_n,missing_completed_pct,unique_nonmissing_values,analysis_role,theoretical_construct,public_release_status,notes
barrier_ingrijorari_legate_de_reglementari_sau_etica,G01Q06[SQ004],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Îngrijorări legate de reglementări sau etică],barrier ingrijorari legate de reglementari sau etica,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
barrier_rezistenta_din_partea_angajatilor,G01Q06[SQ005],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Rezistență din partea angajaților],barrier rezistenta din partea angajatilor,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
barrier_nivelul_de_maturitate_al_noilor_tehnologii_es,G01Q06[SQ006],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Nivelul de maturitate al noilor tehnologii este inca scazut],barrier nivelul de maturitate al noilor tehnologii es,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
upskilling_programe_interne_de_mentorat_instruire_in_uti,G04Q08[SQ001],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Programe (interne) de mentorat/instruire în utilizarea AI pentru angajați],upskilling programe interne de mentorat instruire in uti,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_nu_avem_inca_masuri_specifice,G04Q08[SQ003],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Nu avem încă măsuri specifice],upskilling nu avem inca masuri specifice,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_abonamente_suportate_de_angajator_pentru_unel,G04Q08[SQ006],"Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Abonamente (suportate de angajator) pentru unelte specifice: general-purpose AI tools and coding assistants]",upskilling abonamente suportate de angajator pentru unel,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_decontarea_unor_certificari_cursuri_online_de,G04Q08[SQ007],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Decontarea unor certificări/cursuri online de instruire în utilizarea AI pentru angajați],upskilling decontarea unor certificari cursuri online de,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_angajarea_unor_consultanti_externi_pentru_cer,G04Q08[SQ008],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Angajarea unor consultanți externi pentru certificări/cursuri de instruire în utilizarea AI pentru angajați],upskilling angajarea unor consultanti externi pentru cer,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_parteneriate_cu_universitati_pentru_instruire,G04Q08[SQ009],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Parteneriate cu universități pentru instruirea angajaților în utilizarea AI],upskilling parteneriate cu universitati pentru instruire,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
app_potential_automatizarea_proceselor,G05Q09[SQ001],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Automatizarea proceselor],app potential automatizarea proceselor,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_analize_si_prognoze_bazate_pe_ai,G05Q09[SQ002],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Analize și prognoze bazate pe AI],app potential analize si prognoze bazate pe ai,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_chatbot_uri_pentru_servicii_clienti,G05Q09[SQ003],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Chatbot-uri pentru servicii clienți],app potential chatbot uri pentru servicii clienti,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_securitate_cibernetica_bazata_pe_ai,G05Q09[SQ004],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Securitate cibernetică bazată pe AI],app potential securitate cibernetica bazata pe ai,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_marketing_imbunatatit_cu_ai,G05Q09[SQ005],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Marketing îmbunătățit cu AI],app potential marketing imbunatatit cu ai,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_altul_va_rugam_sa_specificati,G05Q09[SQ006],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Altul (vă rugăm să specificați)],app potential altul va rugam sa specificati,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
sector_selection_count,derived from multiple-response items,Count of selected options,sector selection count,numeric,numeric as recorded or derived,0,0.0,2,derived analysis variable,derived analytical construct,safe after anonymisation,
role_selection_count,derived from multiple-response items,Count of selected options,role selection count,numeric,numeric as recorded or derived,0,0.0,3,derived analysis variable,derived analytical construct,safe after anonymisation,
motivation_selection_count,derived from multiple-response items,Count of selected options,motivation selection count,numeric,numeric as recorded or derived,0,0.0,5,derived analysis variable,derived analytical construct,safe after anonymisation,
barrier_selection_count,derived from multiple-response items,Count of selected options,barrier selection count,numeric,numeric as recorded or derived,0,0.0,6,derived analysis variable,derived analytical construct,safe after anonymisation,
upskilling_positive_selection_count,derived from multiple-response items,Count of selected options,upskilling positive selection count,numeric,numeric as recorded or derived,0,0.0,6,derived analysis variable,derived analytical construct,safe after anonymisation,
app_potential_selection_count,derived from multiple-response items,Count of selected options,app potential selection count,numeric,numeric as recorded or derived,0,0.0,6,derived analysis variable,derived analytical construct,safe after anonymisation,
has_any_upskilling_measure,derived from G04Q08,"Any positive upskilling/training measure selected, excluding no-measures option",has any upskilling measure,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,derived analysis variable,organisational readiness / workforce capability,safe after anonymisation,
capability_pressure_index,derived from G01Q06,Count of high-cost and lack-of-expertise barrier selections,capability pressure index,numeric,numeric as recorded or derived,0,0.0,3,derived analysis variable,capability pressure,safe after anonymisation,
text_g01q02_sq001comment,G01Q02[SQ001comment],În ce domeniu activează compania dvs.?,text g01q02 sq001comment,text/categorical,categorical label retained or redacted free text,171,80.66,36,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q02_sq002comment,G01Q02[SQ002comment],În ce domeniu activează compania dvs.?,text g01q02 sq002comment,text/categorical,categorical label retained or redacted free text,189,89.15,19,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q02_sq003comment,G01Q02[SQ003comment],În ce domeniu activează compania dvs.?,text g01q02 sq003comment,text/categorical,categorical label retained or redacted free text,200,94.34,12,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q02_sq004comment,G01Q02[SQ004comment],În ce domeniu activează compania dvs.?,text g01q02 sq004comment,text/categorical,categorical label retained or redacted free text,197,92.92,11,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q02_sq005comment,G01Q02[SQ005comment],În ce domeniu activează compania dvs.?,text g01q02 sq005comment,text/categorical,categorical label retained or redacted free text,165,77.83,43,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q02_sq006comment,G01Q02[SQ006comment],În ce domeniu activează compania dvs.?,text g01q02 sq006comment,text/categorical,categorical label retained or redacted free text,197,92.92,14,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q02_sq007comment,G01Q02[SQ007comment],În ce domeniu activează compania dvs.?,text g01q02 sq007comment,text/categorical,categorical label retained or redacted free text,203,95.75,7,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q02_sq008comment,G01Q02[SQ008comment],În ce domeniu activează compania dvs.?,text g01q02 sq008comment,text/categorical,categorical label retained or redacted free text,205,96.7,7,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q02_sq009comment,G01Q02[SQ009comment],În ce domeniu activează compania dvs.?,text g01q02 sq009comment,text/categorical,categorical label retained or redacted free text,163,76.89,49,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q03_sq001comment,G01Q03[SQ001comment],Care este rolul dvs. în companie?,text g01q03 sq001comment,text/categorical,categorical label retained or redacted free text,177,83.49,24,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q03_sq002comment,G01Q03[SQ002comment],Care este rolul dvs. în companie?,text g01q03 sq002comment,text/categorical,categorical label retained or redacted free text,123,58.02,66,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q03_sq003comment,G01Q03[SQ003comment],Care este rolul dvs. în companie?,text g01q03 sq003comment,text/categorical,categorical label retained or redacted free text,183,86.32,27,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q03_sq004comment,G01Q03[SQ004comment],Care este rolul dvs. în companie?,text g01q03 sq004comment,text/categorical,categorical label retained or redacted free text,202,95.28,9,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q03_sq005comment,G01Q03[SQ005comment],Care este rolul dvs. în companie?,text g01q03 sq005comment,text/categorical,categorical label retained or redacted free text,179,84.43,30,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q03_sq006comment,G01Q03[SQ006comment],Care este rolul dvs. în companie?,text g01q03 sq006comment,text/categorical,categorical label retained or redacted free text,179,84.43,31,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g02q04_comment,G02Q04[comment],Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,text g02q04 comment,text/categorical,categorical label retained or redacted free text,13,6.13,199,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q05_sq001comment,G01Q05[SQ001comment],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.?,text g01q05 sq001comment,text/categorical,categorical label retained or redacted free text,27,12.74,183,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q05_sq002comment,G01Q05[SQ002comment],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.?,text g01q05 sq002comment,text/categorical,categorical label retained or redacted free text,58,27.36,154,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q05_sq003comment,G01Q05[SQ003comment],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.?,text g01q05 sq003comment,text/categorical,categorical label retained or redacted free text,89,41.98,123,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q05_sq004comment,G01Q05[SQ004comment],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.?,text g01q05 sq004comment,text/categorical,categorical label retained or redacted free text,31,14.62,180,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q05_sq005comment,G01Q05[SQ005comment],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.?,text g01q05 sq005comment,text/categorical,categorical label retained or redacted free text,156,73.58,56,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q06_sq001comment,G01Q06[SQ001comment],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.?,text g01q06 sq001comment,text/categorical,categorical label retained or redacted free text,29,13.68,179,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q06_sq002comment,G01Q06[SQ002comment],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.?,text g01q06 sq002comment,text/categorical,categorical label retained or redacted free text,49,23.11,163,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q06_sq003comment,G01Q06[SQ003comment],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.?,text g01q06 sq003comment,text/categorical,categorical label retained or redacted free text,114,53.77,98,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
text_g01q06_sq004comment,G01Q06[SQ004comment],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.?,text g01q06 sq004comment,text/categorical,categorical label retained or redacted free text,90,42.45,122,source/cleaned variable,redacted qualitative/free-text contextual material,exclude from public quantitative dataset,Do not publish respondent-level text unless manually reviewed and ethically cleared.
