claim_id,location,claim_type,permitted_wording,permission,scope,numerator,denominator,estimate,uncertainty_or_diagnostic,canonical_output,caveat,prohibited_wording
C011,Results 4.3; Table 2,descriptive,Joint selection of cost and technical-expertise constraints is observed in 122/172 responses (70.9%).,ALLOW,SME-classified responses,122,172,70.9%,"95% descriptive Wilson interval [63.7, 77.2]",table_2_core_estimates.csv,Interval is conditional on observed response rows and does not quantify selection error.,national adoption/prevalence estimate
C012,Results 4.4; Table 2,descriptive,At least one reported workforce-preparation measure is observed in 134/172 responses (77.9%).,ALLOW,SME-classified responses,134,172,77.9%,"95% descriptive Wilson interval [71.1, 83.5]",table_2_core_estimates.csv,Interval is conditional on observed response rows and does not quantify selection error.,national adoption/prevalence estimate
C013,Results 4.4; Table 2; Supplement S7,descriptive,A conservative workforce-preparation indicator excluding overlap with “no specific measures” is observed in 121/172 responses (70.3%).,ALLOW,SME-classified responses,121,172,70.3%,"95% descriptive Wilson interval [63.1, 76.7]",table_2_core_estimates.csv,Interval is conditional on observed response rows and does not quantify selection error.,national adoption/prevalence estimate
C014,Results 4.2; Supplement S10,descriptive,Familiarity without use is selected in 32/172 responses (18.6%).,ALLOW,SME-classified responses,32,172,18.6%,"95% descriptive Wilson interval [13.5, 25.1]",table_s10_ai_response_categories.csv,Survey-defined response category.,verified implementation stage
C015,Results 4.2; Supplement S10,descriptive,Slight familiarity is selected in 27/172 responses (15.7%).,ALLOW,SME-classified responses,27,172,15.7%,"95% descriptive Wilson interval [11.0, 21.9]",table_s10_ai_response_categories.csv,Survey-defined response category.,verified implementation stage
C016,Results 4.2; Supplement S10,descriptive,No familiarity is selected in 8/172 responses (4.7%).,ALLOW,SME-classified responses,8,172,4.7%,"95% descriptive Wilson interval [2.4, 8.9]",table_s10_ai_response_categories.csv,Survey-defined response category.,verified implementation stage
C017,Results 4.3; Figure 2; Supplement S11,descriptive,Regulatory or ethical concerns is selected in 90/172 responses (52.3%).,ALLOW,SME-classified responses,90,172,52.3%,"95% descriptive Wilson interval [44.9, 59.7]",table_s11_reported_constraints.csv,Reported constraint; not a causal determinant or validated construct.,causal barrier effect
C018,Results 4.3; Figure 2; Supplement S11,descriptive,Uncertainty about AI impact is selected in 83/172 responses (48.3%).,ALLOW,SME-classified responses,83,172,48.3%,"95% descriptive Wilson interval [40.9, 55.7]",table_s11_reported_constraints.csv,Reported constraint; not a causal determinant or validated construct.,causal barrier effect
C019,Results 4.3; Figure 2; Supplement S11,descriptive,Employee resistance is selected in 71/172 responses (41.3%).,ALLOW,SME-classified responses,71,172,41.3%,"95% descriptive Wilson interval [34.2, 48.7]",table_s11_reported_constraints.csv,Reported constraint; not a causal determinant or validated construct.,causal barrier effect
C020,Results 4.3; Figure 2; Supplement S11,descriptive,Perceived immaturity of available technologies is selected in 46/172 responses (26.7%).,ALLOW,SME-classified responses,46,172,26.7%,"95% descriptive Wilson interval [20.7, 33.8]",table_s11_reported_constraints.csv,Reported constraint; not a causal determinant or validated construct.,causal barrier effect
C021,Results 4.4; Supplement S6,descriptive,Internal mentoring or training is selected in 112/172 responses (65.1%).,ALLOW,SME-classified responses,112,172,65.1%,"95% descriptive Wilson interval [57.7, 71.8]",table_s6_workforce_preparation.csv,Multiple selections permitted.,exclusive workforce category
C022,Results 4.4; Supplement S6,descriptive,Online courses or certifications reimbursed is selected in 111/172 responses (64.5%).,ALLOW,SME-classified responses,111,172,64.5%,"95% descriptive Wilson interval [57.1, 71.3]",table_s6_workforce_preparation.csv,Multiple selections permitted.,exclusive workforce category
C023,Results 4.4; Supplement S6,descriptive,University or institute partnerships is selected in 91/172 responses (52.9%).,ALLOW,SME-classified responses,91,172,52.9%,"95% descriptive Wilson interval [45.5, 60.2]",table_s6_workforce_preparation.csv,Multiple selections permitted.,exclusive workforce category
C024,Results 4.4; Supplement S6,descriptive,External consultants or experts is selected in 56/172 responses (32.6%).,ALLOW,SME-classified responses,56,172,32.6%,"95% descriptive Wilson interval [26.0, 39.9]",table_s6_workforce_preparation.csv,Multiple selections permitted.,exclusive workforce category
C025,Results 4.4; Supplement S6,descriptive,No specific measures yet is selected in 51/172 responses (29.7%).,ALLOW,SME-classified responses,51,172,29.7%,"95% descriptive Wilson interval [23.3, 36.9]",table_s6_workforce_preparation.csv,Multiple selections permitted.,exclusive workforce category
C026,Results 4.4; Supplement S6,descriptive,Employer-supported AI tools or subscriptions is selected in 38/172 responses (22.1%).,ALLOW,SME-classified responses,38,172,22.1%,"95% descriptive Wilson interval [16.5, 28.9]",table_s6_workforce_preparation.csv,Multiple selections permitted.,exclusive workforce category
C027,Results 4.4; Supplement S7,sensitivity,Positive measure(s) selected; “no specific measures” not selected: 121/172 responses (70.3%).,ALLOW,SME-classified responses,121,172,70.3%,"95% descriptive Wilson interval [63.1, 76.7]",table_s7_workforce_overlap_sensitivity.csv,Conservative positive-preparation classification,mutually exclusive preparation categories
C028,Results 4.4; Supplement S7,sensitivity,Both positive measure(s) and “no specific measures” selected: 13/172 responses (7.6%).,ALLOW,SME-classified responses,13,172,7.6%,"95% descriptive Wilson interval [4.5, 12.5]",table_s7_workforce_overlap_sensitivity.csv,Overlapping response retained in the primary indicator and reported separately,mutually exclusive preparation categories
C029,Results 4.4; Supplement S7,sensitivity,Only “no specific measures” selected: 38/172 responses (22.1%).,ALLOW,SME-classified responses,38,172,22.1%,"95% descriptive Wilson interval [16.5, 28.9]",table_s7_workforce_overlap_sensitivity.csv,No positive preparation selection,mutually exclusive preparation categories
C030,Results 4.4; Supplement S7,sensitivity,Neither positive measure nor “no specific measures” selected: 0/172 responses (0.0%).,ALLOW,SME-classified responses,0,172,0.0%,"95% descriptive Wilson interval [0.0, 2.2]",table_s7_workforce_overlap_sensitivity.csv,Not observed,mutually exclusive preparation categories
C031,Results 4.4; Supplement S7,sensitivity,"Any positive preparation measure, irrespective of overlap: 134/172 responses (77.9%).",ALLOW,SME-classified responses,134,172,77.9%,"95% descriptive Wilson interval [71.1, 83.5]",table_s7_workforce_overlap_sensitivity.csv,Primary descriptive indicator,mutually exclusive preparation categories
C032,Results 4.4; Supplement S7,sensitivity,"Any positive preparation measure, excluding overlap: 121/172 responses (70.3%).",ALLOW,SME-classified responses,121,172,70.3%,"95% descriptive Wilson interval [63.1, 76.7]",table_s7_workforce_overlap_sensitivity.csv,Conservative sensitivity indicator,mutually exclusive preparation categories
C033,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Micro (1–9) stratum, reported active use is observed in 7/36 responses (19.4%).",ALLOW,Micro (1–9),7,36,19.4%,"95% descriptive Wilson interval [9.8, 35.0]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C034,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Micro (1–9) stratum, project-stage category is observed in 4/36 responses (11.1%).",ALLOW,Micro (1–9),4,36,11.1%,"95% descriptive Wilson interval [4.4, 25.3]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C035,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Micro (1–9) stratum, active use or project-stage engagement is observed in 11/36 responses (30.6%).",ALLOW,Micro (1–9),11,36,30.6%,"95% descriptive Wilson interval [18.0, 46.9]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C036,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Micro (1–9) stratum, at least one workforce-preparation measure is observed in 14/36 responses (38.9%).",ALLOW,Micro (1–9),14,36,38.9%,"95% descriptive Wilson interval [24.8, 55.1]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C037,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Small (10–49) stratum, reported active use is observed in 19/57 responses (33.3%).",ALLOW,Small (10–49),19,57,33.3%,"95% descriptive Wilson interval [22.5, 46.3]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C038,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Small (10–49) stratum, project-stage category is observed in 10/57 responses (17.5%).",ALLOW,Small (10–49),10,57,17.5%,"95% descriptive Wilson interval [9.8, 29.4]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C039,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Small (10–49) stratum, active use or project-stage engagement is observed in 29/57 responses (50.9%).",ALLOW,Small (10–49),29,57,50.9%,"95% descriptive Wilson interval [38.3, 63.4]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C040,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Small (10–49) stratum, at least one workforce-preparation measure is observed in 46/57 responses (80.7%).",ALLOW,Small (10–49),46,57,80.7%,"95% descriptive Wilson interval [68.7, 88.9]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C041,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Medium (50–249) stratum, reported active use is observed in 28/79 responses (35.4%).",ALLOW,Medium (50–249),28,79,35.4%,"95% descriptive Wilson interval [25.8, 46.4]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C042,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Medium (50–249) stratum, project-stage category is observed in 37/79 responses (46.8%).",ALLOW,Medium (50–249),37,79,46.8%,"95% descriptive Wilson interval [36.2, 57.7]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C043,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Medium (50–249) stratum, active use or project-stage engagement is observed in 65/79 responses (82.3%).",ALLOW,Medium (50–249),65,79,82.3%,"95% descriptive Wilson interval [72.4, 89.1]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C044,Results 4.5; Figure 3; Supplement S12,employee-band descriptive,"In the Medium (50–249) stratum, at least one workforce-preparation measure is observed in 74/79 responses (93.7%).",ALLOW,Medium (50–249),74,79,93.7%,"95% descriptive Wilson interval [86.0, 97.3]",table_s12_employee_band_patterns.csv,Employee band is descriptive and may proxy unmeasured factors.,firm-size causal effect
C045,Results 4.5; Supplement S8,exploratory association,"Reported active use by employee band: χ²(2) = 3.088, p = 0.214, Cramér’s V = 0.134.",QUALIFY,SME-classified responses,,172,Cramér’s V=0.134,χ²=3.088; df=2; p=0.214; minimum expected=11.30,table_s8_exploratory_association_tests.csv,"Non-preregistered, unadjusted diagnostic in a non-probability response set; no formal comparison among V coefficients.",population inference or causal size effect
C046,Results 4.5; Supplement S8,exploratory association,"Project-stage category by employee band: χ²(2) = 21.122, p <0.001, Cramér’s V = 0.350.",QUALIFY,SME-classified responses,,172,Cramér’s V=0.350,χ²=21.122; df=2; p=<0.001; minimum expected=10.67,table_s8_exploratory_association_tests.csv,"Non-preregistered, unadjusted diagnostic in a non-probability response set; no formal comparison among V coefficients.",population inference or causal size effect
C047,Results 4.5; Supplement S8,exploratory association,"Combined active-use-or-project-stage indicator by employee band: χ²(2) = 31.530, p <0.001, Cramér’s V = 0.428.",QUALIFY,SME-classified responses,,172,Cramér’s V=0.428,χ²=31.530; df=2; p=<0.001; minimum expected=14.02,table_s8_exploratory_association_tests.csv,"Non-preregistered, unadjusted diagnostic in a non-probability response set; no formal comparison among V coefficients.",population inference or causal size effect
C048,Results 4.5; Supplement S8,exploratory association,"Workforce preparation by employee band: χ²(2) = 43.507, p <0.001, Cramér’s V = 0.503.",QUALIFY,SME-classified responses,,172,Cramér’s V=0.503,χ²=43.507; df=2; p=<0.001; minimum expected=7.95,table_s8_exploratory_association_tests.csv,"Non-preregistered, unadjusted diagnostic in a non-probability response set; no formal comparison among V coefficients.",population inference or causal size effect
C049,Methods; Limitations; Conclusion,boundary,The empirical unit is a completed response; unique organisations and response independence were not verified.,ALLOW,All analyses,,,,,analysis_contract.json,Ceiling of inference.,unique firms
C050,Methods; Limitations; Conclusion,boundary,The survey does not estimate national prevalence or causal effects and does not verify organisational implementation or restructuring.,ALLOW,All analyses,,,,,analysis_contract.json,Ceiling of inference.,national adoption rate; determinants; restructuring evidence
C051,Methods 3.5; Limitations,boundary,"The project-stage response option combines planning, testing and deployment and is therefore heterogeneous.",ALLOW,SME-classified responses,,,,,table_s10_ai_response_categories.csv,Do not relabel as completed deployment.,verified deployment
